Nom;ID Producte;Preu;Promocions;Data
Barritas de cereales NESTLÉ Lion, caja 150 g;343680;2,75€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Cóctel fruta almíbar FRUITS DE PONENT, bote 840 g;338061;1,55€/u;['Precio Oferta', 'Producto de Segrià'];11_04_2021
Arroz risotto carnaroli EROSKI, paquete 1 kg;343772;1,49€/u;['Precio Oferta', 'Eroski', 'Producto nuevo'];11_04_2021
Fuet extra ORGANYA, pieza al peso;30099;17,65€/Kg;['Precio Oferta', 'Recién cortado'];11_04_2021
Longaniza de Pagés OBACH, al corte, pieza aprox. 450 g;30706;20,80€/Kg;['Precio Oferta', 'Recién cortado'];11_04_2021
Café molido Colombia BONKA, paquete 250 g;154101;2,75€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Caldo de carne La Abuela KNORR, brik 1 litro;257645;1,85€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Lay's horno Patatas fritas al horno 150g;277714;1,85€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Café en grano puro arábica BONKA, paquete 500 g;349364;5,99€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Café molido descafeinado BONKA, paquete 250 g + 10%;154199;3,09€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Café molido natural BONKA, paquete 250 g + 10%;154180;1,98€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Alvalle Gazpacho suave 1l;224906;3,39€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Galleta Digestive Finas de chocolate negro FONTANEDA, caja 170 g;339203;1,77€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Mouse de chocolate y almendra ALPRO, pack 2x70 g;350884;1,49€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Tortelloni con queso GALLO, bandeja 200 g;307568;1,28€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Alpro Café Colombiano de avena 207g;339056;1,59€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Air Wick Ambientador spray pure Flor 250ml;323938;4,40€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Big pot avena arándanos ALPRO, 350 g;348386;2,19€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
La Cocinera Recetas Artesanas Croquetas cocido jamón serrano500g;113467;3,69€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Estrella Damm Cerveza pack 24x25cl;327194;13,29€/u;['Productos catalanes'];11_04_2021
Alpro Yogur soja piña maracuya 4x125g;331554;1,95€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Yogur de coco natural ALPRO, tarrina 350 g;350885;2,19€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Hélices integrales GALLO, paquete 450 g;348576;1,26€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Plumas rayadas integrales GALLO, paquete 450 g;348577;1,26€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
